,Bag-Of-Words,BERT,InferSent,Self-Attentive,TF-IDF
263,0,0,1,0,0
264,0,1,1,1,0
265,1,1,1,1,1
266,1,1,1,1,1
267,1,1,1,1,1
268,1,1,1,1,1
269,1,1,1,1,0
270,1,1,1,1,1
271,1,1,1,1,1
272,1,1,1,1,1
273,0,0,1,1,0
274,1,1,1,1,1
275,1,1,1,1,1
276,1,1,1,1,1
277,1,1,1,1,1
278,1,1,1,1,1
279,1,1,1,1,1
280,1,1,1,1,1
281,1,1,1,1,1
282,0,1,1,1,0
283,1,1,1,1,1
284,1,1,1,1,1
285,1,1,1,1,1
286,0,1,0,0,0
287,1,1,1,1,1
288,1,1,1,1,1
289,1,1,1,1,1
290,1,1,1,1,1
291,1,1,1,1,0
292,0,1,1,1,0
293,1,1,1,1,1
294,0,1,1,1,1
295,1,1,1,1,1
296,1,1,1,1,1
297,1,1,1,1,1
298,1,1,1,1,1
299,1,1,1,1,1
300,0,1,1,1,0
301,1,1,1,1,1
302,0,1,1,1,0
303,1,1,1,1,1
304,1,1,1,1,1
305,1,1,1,1,1
306,1,1,1,1,1
307,0,1,1,1,0
308,1,1,1,1,1
309,1,1,1,1,1
310,0,1,1,1,1
311,0,1,1,0,0
312,1,1,1,1,1
313,1,1,1,1,1
314,1,1,1,1,1
315,1,1,1,1,1
316,1,1,1,1,1
317,1,1,1,1,1
318,0,0,1,1,0
319,0,1,1,1,0
320,1,1,1,1,1
321,1,1,1,1,1
322,1,1,1,1,1
323,0,0,0,0,0
324,0,1,1,1,0
325,1,1,1,1,1
326,1,1,1,1,1
327,0,1,1,1,0
328,1,1,1,1,1
329,1,1,1,1,1
330,1,1,1,1,1
331,0,0,1,1,0
332,0,0,0,0,0
333,0,1,1,1,0
334,1,1,1,1,1
335,0,1,1,1,0
336,1,1,1,1,1
337,1,1,1,1,1
338,1,1,1,1,1
339,0,1,1,1,0
340,1,0,0,0,1
341,1,1,1,1,1
342,1,1,1,1,1
343,0,1,1,1,0
344,1,1,1,1,1
345,1,1,1,1,1
346,1,1,1,1,1
347,1,1,1,1,0
348,1,1,1,1,1
349,1,1,1,1,1
350,1,1,1,1,1
351,1,1,1,1,1
352,1,1,1,1,1
353,1,1,1,1,1
354,1,1,1,1,1
355,1,1,1,1,1
356,1,1,1,1,0
357,1,0,0,0,1
358,1,1,1,1,1
359,1,1,1,1,1
360,1,1,1,1,1
361,1,1,1,1,1
362,1,1,1,1,1
363,1,1,1,1,1
364,1,1,1,1,1
365,1,1,1,1,1
366,0,1,1,0,0
367,1,1,1,1,1
368,0,0,1,1,0
369,0,1,1,1,1
370,0,1,1,1,0
371,1,1,1,1,1
372,0,1,1,1,0
373,1,0,1,0,1
374,0,1,1,0,0
375,1,1,1,1,1
376,1,1,1,1,1
377,1,1,1,1,1
378,1,1,1,1,1
379,1,1,1,1,1
380,1,1,1,1,1
381,1,1,1,1,1
382,0,1,1,1,0
383,1,1,1,1,1
384,1,1,1,1,1
385,1,1,1,1,1
386,1,1,1,1,1
387,0,1,1,0,0
388,1,1,1,1,1
389,1,1,1,1,1
390,0,1,1,1,0
391,1,1,1,1,1
392,1,1,1,1,1
393,1,0,1,1,1
394,1,1,1,1,1
395,1,1,1,1,1
396,0,1,1,1,0
397,1,1,1,1,1
398,1,1,1,1,1
399,1,1,1,1,1
400,1,1,1,1,1
401,0,1,1,1,0
402,1,1,1,1,1
403,1,1,1,1,1
404,1,1,1,1,1
405,1,1,1,1,1
406,1,1,1,1,1
407,1,1,1,1,1
408,0,1,1,1,0
409,1,1,1,1,1
410,1,1,1,1,1
411,1,1,1,1,1
412,0,1,1,1,0
413,0,1,1,1,0
414,1,1,1,1,1
415,0,1,1,1,0
416,1,1,1,1,1
417,0,1,0,0,0
418,1,1,1,1,1
419,1,1,1,1,1
420,1,1,1,1,1
421,0,0,1,0,0
422,1,1,1,1,1
423,0,1,1,1,0
424,1,1,1,1,1
425,1,1,1,1,1
426,1,1,1,1,1
427,0,1,1,1,1
428,0,1,1,1,1
429,1,1,1,1,1
430,0,0,1,0,0
